Date,Close/Last,Volume,Open,High,Low
10/08/2024,$96.21,6595191,$96.05,$96.88,$95.28
10/07/2024,$96.09,7478912,$96.19,$96.52,$95.36
10/04/2024,$96.58,6819465,$96.17,$96.73,$95.15
10/03/2024,$95.56,5556383,$95.64,$96.39,$95.31
10/02/2024,$96.50,6345996,$96.83,$97.00,$95.87
10/01/2024,$97.43,7171570,$97.49,$98.143,$96.35
09/30/2024,$97.49,6439104,$97.39,$97.69,$96.41
09/27/2024,$97.36,6320017,$97.65,$98.1468,$97.19
09/26/2024,$97.47,9876771,$98.50,$99.15,$97.00
09/25/2024,$95.62,8632888,$94.26,$95.96,$94.2168
09/24/2024,$94.45,8606798,$95.47,$95.82,$94.185
09/23/2024,$95.48,8382840,$96.05,$96.05,$94.3505
09/20/2024,$96.05,19541040,$96.85,$97.06,$95.32
09/19/2024,$96.90,8752645,$97.97,$98.70,$96.325
09/18/2024,$96.12,8793825,$95.55,$97.60,$95.33
09/17/2024,$96.44,6281724,$96.49,$96.54,$95.20
09/16/2024,$96.31,9263409,$98.52,$98.60,$95.98
09/13/2024,$98.57,9899865,$99.13,$99.51,$98.50
09/12/2024,$99.28,14658700,$98.46,$99.31,$97.34
09/11/2024,$98.20,19302890,$94.08,$98.35,$93.66
09/10/2024,$93.34,7327008,$92.12,$93.52,$91.14
09/09/2024,$92.21,10089690,$91.22,$92.355,$90.41
09/06/2024,$91.15,9257004,$91.50,$92.16,$90.18
09/05/2024,$91.56,8370064,$92.17,$93.02,$91.20
09/04/2024,$92.33,7193465,$93.37,$93.98,$91.97
09/03/2024,$93.18,11234030,$94.13,$94.81,$93.04
08/30/2024,$94.57,7117159,$94.99,$95.93,$94.435
08/29/2024,$94.86,8781338,$95.47,$95.83,$94.275
08/28/2024,$95.30,14866280,$98.22,$98.71,$94.38
08/27/2024,$98.60,17456300,$95.40,$98.72,$95.25
08/26/2024,$95.63,13882770,$94.20,$95.93,$94.18
08/23/2024,$94.02,11483710,$92.85,$94.42,$92.825
08/22/2024,$92.43,10010280,$92.67,$92.8292,$91.77
08/21/2024,$92.78,6769155,$92.49,$93.38,$92.22
08/20/2024,$93.01,11536230,$92.29,$93.8198,$92.13
08/19/2024,$92.30,14479020,$94.35,$94.89,$92.13
08/16/2024,$94.81,16336330,$93.355,$95.65,$93.30
08/15/2024,$94.88,21109810,$94.115,$94.96,$92.98
08/14/2024,$93.90,45737850,$95.39,$95.8621,$91.43
08/13/2024,$95.90,157215500,$91.02,$96.01,$90.29
08/12/2024,$77.03,13123040,$76.53,$78.43,$76.2913
08/09/2024,$75.09,4683590,$75.65,$75.86,$74.75
08/08/2024,$75.75,8988259,$75.07,$76.15,$74.80
08/07/2024,$75.29,7297044,$75.30,$76.83,$75.16
08/06/2024,$75.37,10525490,$73.92,$75.99,$73.84
08/05/2024,$73.86,12372870,$73.85,$75.00,$72.725
08/02/2024,$75.88,15185690,$75.11,$76.67,$74.9211
08/01/2024,$75.11,17307170,$77.89,$78.14,$73.83
07/31/2024,$77.95,18901090,$79.55,$81.24,$77.80
07/30/2024,$75.94,16163630,$75.25,$76.05,$74.85
07/29/2024,$75.20,10864720,$74.39,$75.59,$73.72
07/26/2024,$74.05,12387110,$73.84,$75.02,$73.705
07/25/2024,$73.32,18973610,$75.06,$75.765,$73.26
