Date,Close/Last,Volume,Open,High,Low
10/08/2024,$166.34,7843548,$164.86,$167.7209,$163.66
10/07/2024,$166.94,4359327,$167.635,$168.7199,$165.735
10/04/2024,$168.90,6588668,$172.55,$172.80,$166.48
10/03/2024,$168.92,6260212,$165.95,$169.53,$165.66
10/02/2024,$168.32,4484587,$166.15,$169.75,$165.15
10/01/2024,$165.78,8277568,$169.80,$170.29,$164.08
09/30/2024,$170.05,8103000,$171.37,$172.23,$167.75
09/27/2024,$170.13,5880662,$173.00,$173.45,$169.83
09/26/2024,$172.66,8474993,$174.91,$175.75,$166.7801
09/25/2024,$168.27,5095502,$166.28,$168.59,$165.76
09/24/2024,$166.95,9666799,$167.42,$169.355,$165.98
09/23/2024,$165.96,9810047,$168.42,$169.98,$165.35
09/20/2024,$168.92,27546390,$172.69,$173.07,$164.30
09/19/2024,$173.92,10900030,$174.42,$176.80,$172.49
09/18/2024,$168.30,5877581,$169.52,$172.42,$167.695
09/17/2024,$168.70,5828016,$168.88,$169.50,$166.08
09/16/2024,$166.61,6510034,$164.93,$167.34,$163.79
09/13/2024,$167.73,4049902,$165.81,$168.30,$165.44
09/12/2024,$164.98,6045562,$165.88,$166.31,$162.90
09/11/2024,$166.56,8275440,$162.36,$166.90,$159.2502
09/10/2024,$161.68,7918073,$160.00,$162.06,$157.68
09/09/2024,$160.77,7494915,$161.09,$162.37,$158.57
09/06/2024,$158.19,10703050,$162.74,$163.19,$157.13
09/05/2024,$163.70,5599989,$163.08,$165.7994,$161.85
09/04/2024,$165.33,6737013,$163.00,$168.24,$162.63
09/03/2024,$163.24,11620270,$171.885,$172.155,$162.00
08/30/2024,$175.30,11110810,$172.29,$175.46,$170.80
08/29/2024,$169.49,12514150,$173.42,$176.3599,$168.93
08/28/2024,$171.85,6534566,$174.38,$175.72,$169.63
08/27/2024,$173.93,6498782,$169.17,$174.44,$168.265
08/26/2024,$169.49,7437611,$171.97,$172.38,$168.53
08/23/2024,$173.50,6823561,$171.76,$174.62,$170.6301
08/22/2024,$169.00,6743476,$174.30,$174.585,$168.38
08/21/2024,$174.22,6309503,$172.99,$174.87,$172.075
08/20/2024,$172.11,6222388,$173.86,$175.43,$171.15
08/19/2024,$174.26,6708083,$171.57,$174.32,$168.74
08/16/2024,$172.18,5435739,$172.285,$173.38,$170.63
08/15/2024,$173.34,10752140,$171.75,$174.64,$170.61
08/14/2024,$167.15,7208248,$170.64,$171.2587,$164.7248
08/13/2024,$169.47,11102080,$164.30,$169.56,$163.28
08/12/2024,$162.89,8548033,$160.56,$163.39,$157.42
08/09/2024,$164.48,4824606,$164.07,$165.89,$161.98
08/08/2024,$164.95,9590873,$160.74,$165.59,$157.87
08/07/2024,$156.12,9266867,$163.58,$164.32,$155.50
08/06/2024,$158.72,9301031,$158.42,$163.63,$156.50
08/05/2024,$157.95,12733910,$153.27,$162.82,$151.3901
